ID,forward,reverse,taxid
Aphelonecta_gavini_NN_JB1080,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1009/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1009_S17_L003_R1_001.fastq.gz,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1009/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1009_S17_L003_R2_001.fastq.gz,50616
Nychia_malayana_NN_JB1081,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1010/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1010_S18_L003_R1_001.fastq.gz,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1010/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1010_S18_L003_R2_001.fastq.gz,2577077
Nychia_sappho_RS_JB1082,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1011/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1011_S19_L003_R1_001.fastq.gz,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1011/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1011_S19_L003_R2_001.fastq.gz,2577077
Nychia_cf_marshalli_Madagascar_RS_JB1083,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1012/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1012_S20_L003_R1_001.fastq.gz,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1012/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1012_S20_L003_R2_001.fastq.gz,2577077
Paranisops_leukopardus_RS_JB1085,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1013/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1013_S21_L003_R1_001.fastq.gz,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1013/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1013_S21_L003_R2_001.fastq.gz,280212
Paranisops_sawangi_RS_JB1086,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1014/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1014_S22_L003_R1_001.fastq.gz,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1014/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1014_S22_L003_R2_001.fastq.gz,280212
Aphelonecta_gavini_RS_JB1087,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1015/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1015_S23_L003_R1_001.fastq.gz,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1015/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1015_S23_L003_R2_001.fastq.gz,280213
Enitharoides_brasiliensis_NN_JB1078,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1023/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1023_S31_L003_R1_001.fastq.gz,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1023/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1023_S31_L003_R2_001.fastq.gz,2676434
Enitharoides_brasiliensis_NN_JB1079,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1024/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1024_S32_L003_R1_001.fastq.gz,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1024/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1024_S32_L003_R2_001.fastq.gz,2676434
Nychia_marshalli_Gambia_NHRS_JB1084,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1025/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1025_S33_L003_R1_001.fastq.gz,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1025/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1025_S33_L003_R2_001.fastq.gz,2577077
Neonychia_congoensis_Terv_JB1088,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1026/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1026_S34_L003_R1_001.fastq.gz,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1026/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1026_S34_L003_R2_001.fastq.gz,50616
Neonychia_congoensis_Terv_JB1089,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1027/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1027_S35_L003_R1_001.fastq.gz,/home/nylander/run/Johannes_Bergsten/johaberg-ryggsimmare/rawdata/P39314_1027/02-FASTQ/20260327_LH00202_0342_A23JN5NLT4/P39314_1027_S35_L003_R2_001.fastq.gz,50616
